period,Barton Pond,CityHall,Jackson,N Campus Pump Station,S Industrial
2015/11/26,,0.06,0.02,0.09,0.06
2015/11/27,,0.38,0.4,0.36,0.38
2015/11/28,,0.02,0.02,0.02,0.01
2015/11/29,,0,0,0,0
2015/11/30,,0,0,0,0
2015/12/1,,0.01,0.03,0.02,0.01
2015/12/2,,0.06,0.06,0.09,0.07
2015/12/3,,0.01,0,0,0
2015/12/4,,0,0,0,0
2015/12/5,,0,0,0,0
2015/12/6,,0,0,0,0
2015/12/7,,0,0,0,0
2015/12/8,,0,0,0,0
2015/12/9,,0,0,0,0
2015/12/10,,0,0,0,0
2015/12/11,,0,0,0,0
2015/12/12,,0,0,0,0
2015/12/13,,0,0,0,0
2015/12/14,,0.31,0.1,0.28,0.25
2015/12/15,,0,0,0,0
2015/12/16,,0.02,0.01,0.04,0.03
2015/12/17,,0,0,0,0
2015/12/18,,0,0,0,0
2015/12/19,,0,0,0,0
2015/12/20,,0,0,0,0
2015/12/21,,0.41,0.41,0.51,0.39
2015/12/22,,0,0.04,0.03,0.15
2015/12/23,,0.54,0.47,0.59,0.58
2015/12/24,,0,0,0,0
2015/12/25,,0,0,0,0
2015/12/26,,0.03,0.04,0.03,0.03
2015/12/27,,0.17,0.2,0.2,0.19
2015/12/28,,0.78,0.72,0.77,0.61
2015/12/29,,0.02,0.02,0.02,0.02
2015/12/30,,0,0,0,0
2015/12/31,,0,0,0,0
2016/1/1,,0,0,0,0
2016/1/2,,0,0,0,0
2016/1/3,,0,0,0,0
2016/1/4,,0,0,0,0
2016/1/5,,0,0,0,0
2016/1/6,,0,0,0,0
2016/1/7,,0,0,0,0
